location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Central Phoenix,co,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.4579,-112.046,0.864516129
Cheeka Peak,co,ppm,US,Port Angeles,00:00.0,48.2867,-124.6203,0.102258065
Cheyenne NCore,co,ppm,US,Cheyenne,00:00.0,41.18222,-104.778336,0.134677419
Chico -  East,co,ppm,US,BUTTE,00:00.0,39.76168,-121.84047,0.308965517
Cincinnati Near Road,co,ppm,US,Cincinnati-Middletown,00:00.0,39.146025,-84.538375,0.467903226
Clovis - N. Villa Av,co,ppm,US,Fresno,00:00.0,36.819199,-119.7164,0.416666667
Colorado Springs - H,co,ppm,US,Colorado Springs,00:00.0,38.830895,-104.839243,0.563333333
Columbus NR - Smoky,co,ppm,US,Columbus,00:00.0,40.11109,-83.065376,0.047540984
Compton,co,ppm,US,Los Angeles-Long Beach-Santa Ana,00:00.0,33.9014,-118.205,0.723015873
Concord,co,ppm,US,San Francisco-Oakland-Fremont,00:00.0,37.9383,-122.025,0.234464286
Converse County Long,co,ppm,US,CONVERSE,00:00.0,43.1,-105.5,0.07640625
Copper View,co,ppm,US,Salt Lake City,00:00.0,40.598056,-111.894167,0.425806452
Cornwall,co,ppm,US,Torrington,00:00.0,41.833099,-73.303299,0.146
DCNearRoad,co,ppm,US,Washington-Arlington-Alexandria,00:00.0,38.894749,-76.953427,0.653709677
DET POLICE 4TH,co,ppm,US,Detroit-Warren-Livonia,00:00.0,42.312158,-83.091943,0.433333333
"Davenport, 10th & Vi",co,ppm,US,Davenport-Moline-Rock Island,00:00.0,41.529999,-90.587502,0.229333333
Del Norte,co,ppm,US,Albuquerque,00:00.0,35.1353,-106.584702,0.362380952
Denver - CAMP - 2105,co,ppm,US,Denver-Aurora,00:00.0,39.751099,-104.987198,0.453333333
Diablo,co,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.3961,-111.968,1.014516129
E Providence,co,ppm,US,Providence-New Bedford-Fall River,00:00.0,41.840302,-71.361702,0.473181818
EAST VINTON ELEMENTA,co,ppm,US,Roanoke,00:00.0,37.285599,-79.884201,0.131147541
East Chicago Post Of,co,ppm,US,Chicago-Naperville-Joliet,00:00.0,41.628611,-87.461389,0.46016129
Eliza Howell- Roadwa,co,ppm,US,WAYNE,00:00.0,42.38599,-83.266319,0.292857143
Elizabeth,co,ppm,US,UNION,00:00.0,40.662388,-74.214813,0.416949153
Elizabeth Trailer,co,ppm,US,New York-Northern New Jersey-Long Island,00:00.0,40.641441,-74.208366,0.294915254
Essex,co,ppm,US,Baltimore-Towson,00:00.0,39.310833,-76.474444,0.498305085
Evansville-Lloyd,co,ppm,US,Evansville,00:00.0,37.977222,-87.59639,0.318032787
Fontana - Arrow High,co,ppm,US,Riverside-San Bernardino-Ontario,00:00.0,34.100132,-117.491982,0.641451613
Forest Park,co,ppm,US,St. Louis,00:00.0,38.631057,-90.281144,0.491607143
Fort Collins - CSU -,co,ppm,US,Fort Collins-Loveland,00:00.0,40.5764,-105.0794,0.372413793
