location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Glendale Community C,pm25,µg/m³,US,Phoenix-Mesa-Scottsdale,00:00.0,33.5694,-112.1915,12.15
Glendora - Laurel,pm25,µg/m³,US,Los Angeles-Long Beach-Santa Ana,00:00.0,34.1439,-117.8508,12.7
Glenpool,pm25,µg/m³,US,Tulsa,00:00.0,35.9525,-96.0033,9.6
Globeville,pm25,µg/m³,US,DENVER,00:00.0,39.785622,-104.988469,14.97692308
Goleta,pm25,µg/m³,US,Santa Barbara-Santa Maria,00:00.0,34.445301,-119.827797,4.642857143
Grand Portage,pm25,µg/m³,US,COOK,00:00.0,47.9721,-89.6908,3.333333333
Grangeville,pm25,µg/m³,US,IDAHO,00:00.0,45.931301,-116.115196,4.928571429
Grants Pass - Parksi,pm25,µg/m³,US,Grants Pass,00:00.0,42.434149,-123.348466,14.07142857
Grass Valley,pm25,µg/m³,US,Truckee-Grass Valley,00:00.0,39.234402,-121.055603,5.615384615
Great Falls Overlook,pm25,µg/m³,US,CASCADE,00:00.0,47.494318,-111.303317,4.438461538
Greeley Hospital,pm25,µg/m³,US,Greeley,00:00.0,40.4147,-104.7061,19.73846154
GreenValley,pm25,µg/m³,US,Las Vegas-Paradise,00:00.0,36.048705,-115.052942,12.2
Greenfield,pm25,µg/m³,US,FRANKLIN,00:00.0,42.605816,-72.596689,5.142857143
Greenville-ESC,pm25,µg/m³,US,Greenville,00:00.0,34.843899,-82.414597,5.38
Gridley,pm25,µg/m³,US,Chico,00:00.0,39.32756,-121.66881,20.14285714
Groton Fort Griswold,pm25,µg/m³,US,Norwich-New London,00:00.0,41.3536,-72.0789,4.492857143
Gwinnett Tech,pm25,µg/m³,US,Atlanta-Sandy Springs-Marietta,00:00.0,33.9636,-84.0664,6.15
HAMPTON,pm25,µg/m³,US,Virginia Beach-Norfolk-Newport News,00:00.0,37.103683,-76.386948,10.68571429
HARRINGTON BCH,pm25,µg/m³,US,Milwaukee-Waukesha-West Allis,00:00.0,43.4981,-87.81,3.892857143
HATTIEAVEN,pm25,µg/m³,US,Winston-Salem,00:00.0,36.1106,-80.2267,9.464285714
HAZ2,pm25,µg/m³,US,PERRY,00:00.0,37.2831,-83.2203,17.48181818
HERNANDO,pm25,µg/m³,US,Memphis,00:00.0,34.820556,-89.987778,21.00714286
HICKORY,pm25,µg/m³,US,Hickory-Lenoir-Morganton,00:00.0,35.728889,-81.365556,5
HVILLE,pm25,µg/m³,US,Nashville-Davidson--Murfreesboro,00:00.0,36.2975,-86.6525,17
Hamilton PS 46,pm25,µg/m³,US,RAVALLI,00:00.0,46.243621,-114.158889,4.033333333
