location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Custer-Loomis (SO-AQ,o3,ppm,US,Bellingham,00:00.0,48.950699,-122.554398,0.011857143
DANIA_BEACH,o3,ppm,US,Miami-Fort Lauderdale-Miami Beach,00:00.0,26.0864,-80.1114,0.015125
DAVIS ISLAND,o3,ppm,US,Tampa-St. Petersburg-Clearwater,00:00.0,27.9283,-82.4547,0.024733333
DECATUR,o3,ppm,US,Decatur,00:00.0,34.5286,-86.9706,0.001
DEER,o3,ppm,US,Harrison,00:00.0,35.8325,-93.2192,0.0406
Dallas Hinton St. C4,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,32.82,-96.86,0.00775
Dallas North C63,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,32.919206,-96.808498,0.006928571
Dallas Redbird Airpo,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,32.6767,-96.8717,0.016285714
Daniel South,o3,ppm,US,SUBLETTE,00:00.0,42.7914,-110.0547,0.0311875
"Davenport, 10th & Vi",o3,ppm,US,Davenport-Moline-Rock Island,00:00.0,41.529999,-90.587502,0.007615385
Davis - UCD Campus,o3,ppm,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.53455,-121.7734,0.008923077
Death Valley NP,o3,ppm,US,Bishop,00:00.0,36.5092,-116.8481,0.041785714
Deer Creek,o3,ppm,US,Washington,00:00.0,39.6359,-83.2605,0.020857143
Del Norte,o3,ppm,US,Albuquerque,00:00.0,35.1353,-106.584702,0.002928571
Denali NPP,o3,ppm,US,YUKON-KOYUKUK,00:00.0,63.723301,-148.967499,0.031928571
Denton Airport South,o3,ppm,US,Dallas-Fort Worth-Arlington,00:00.0,33.1944,-97.1933,0.004384615
Denver - CAMP - 2105,o3,ppm,US,Denver-Aurora,00:00.0,39.751099,-104.987198,0.008357143
Desert View,o3,ppm,US,Las Cruces,00:00.0,31.7961,-106.5839,0.002818182
Dinosaur National Mo,o3,ppm,US,UINTAH,00:00.0,40.4372,-109.3047,0.020142857
Dixie,o3,ppm,US,Shreveport-Bossier City,00:00.0,32.6833,-93.8617,0.007266667
Downtown Sacramento,o3,ppm,US,Sacramento--Arden-Arcade--Roseville,00:00.0,38.56844,-121.49311,0.002
Duluth-WDSE,o3,ppm,US,Duluth,00:00.0,46.8183,-92.0892,0.031428571
Dunkirk,o3,ppm,US,CHAUTAUQUA,00:00.0,42.4992,-79.32,0.036428571
Dutchtown,o3,ppm,US,Baton Rouge,00:00.0,30.2294,-90.9656,0.021
Dysart,o3,ppm,US,Phoenix-Mesa-Scottsdale,00:00.0,33.6369,-112.3394,0.018866667
E Providence,o3,ppm,US,Providence-New Bedford-Fall River,00:00.0,41.840302,-71.361702,0.0386
