location,parameter,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Grass Valley,pm25,US,Truckee-Grass Valley,00:00.0,39.234402,-121.055603,5.615384615
Great Falls Overlook,pm25,US,CASCADE,00:00.0,47.494318,-111.303317,4.438461538
Greeley Hospital,pm25,US,Greeley,00:00.0,40.4147,-104.7061,19.73846154
GreenValley,pm25,US,Las Vegas-Paradise,00:00.0,36.048705,-115.052942,12.2
Greenfield,pm25,US,FRANKLIN,00:00.0,42.605816,-72.596689,5.142857143
Greenville-ESC,pm25,US,Greenville,00:00.0,34.843899,-82.414597,5.38
Gridley,pm25,US,Chico,00:00.0,39.32756,-121.66881,20.14285714
Groton Fort Griswold,pm25,US,Norwich-New London,00:00.0,41.3536,-72.0789,4.492857143
Gwinnett Tech,pm25,US,Atlanta-Sandy Springs-Marietta,00:00.0,33.9636,-84.0664,6.15
HAMPTON,pm25,US,Virginia Beach-Norfolk-Newport News,00:00.0,37.103683,-76.386948,10.68571429
HARRINGTON BCH,pm25,US,Milwaukee-Waukesha-West Allis,00:00.0,43.4981,-87.81,3.892857143
HATTIEAVEN,pm25,US,Winston-Salem,00:00.0,36.1106,-80.2267,9.464285714
HAZ2,pm25,US,PERRY,00:00.0,37.2831,-83.2203,17.48181818
HERNANDO,pm25,US,Memphis,00:00.0,34.820556,-89.987778,21.00714286
HICKORY,pm25,US,Hickory-Lenoir-Morganton,00:00.0,35.728889,-81.365556,5
HVILLE,pm25,US,Nashville-Davidson--Murfreesboro,00:00.0,36.2975,-86.6525,17
Hamilton PS 46,pm25,US,RAVALLI,00:00.0,46.243621,-114.158889,4.033333333
Hammond-167th St,pm25,US,Chicago-Naperville-Joliet,00:00.0,41.594427,-87.495044,25.91428571
Harriman,pm25,US,Harriman,00:00.0,35.9386,-84.5439,9.666666667
Harrisburg,pm25,US,Harrisburg-Carlisle,00:00.0,40.246992,-76.846988,6.4
Hartford-Huntley,pm25,US,Hartford-West Hartford-East Hartford,00:00.0,41.771444,-72.679923,4.521428571
Hattiesburg,pm25,US,Hattiesburg,00:00.0,31.322779,-89.287498,12.27857143
Haverhill,pm25,US,Boston-Cambridge-Quincy,00:00.0,42.7708,-71.1028,2.615384615
Havre,pm25,US,MT1,00:00.0,48.551019,-109.677483,6.571428571
Haws Athletic Center,pm25,US,Dallas-Fort Worth-Arlington,00:00.0,32.7592,-97.3414,18.30714286
Hawthorne,pm25,US,Salt Lake City,00:00.0,40.733501,-111.871696,11.58571429
Healdton,pm25,US,Ardmore,00:00.0,34.256901,-97.474197,5.2
Heritage Park,pm25,US,Kansas City,00:00.0,38.8386,-94.7464,6.078571429
Herriman #3,pm25,US,Salt Lake City,00:00.0,40.496408,-112.036305,6.85
Hidden Valley,pm25,US,PINAL,00:00.0,32.884761,-112.03705,10.57142857
Hillcrest HS,pm25,US,Springfield,00:00.0,37.256069,-93.299692,8.891666667
Hillsboro - Hare Fie,pm25,US,Portland-Vancouver-Beaverton,00:00.0,45.528501,-122.972398,13.58571429
Hilo,pm25,US,Hilo,00:00.0,19.717562,-155.110535,3.142857143
Hinds CC,pm25,US,Jackson,00:00.0,32.346905,-90.225928,20.13571429
Hobbs Jefferson,pm25,US,Hobbs,00:00.0,32.7267,-103.1233,3.9
Holbrook,pm25,US,GREENE,00:00.0,39.82,-80.2897,22.04
Holtsville,pm25,US,New York-Northern New Jersey-Long Island,00:00.0,40.8278,-73.0575,4.314285714
Honolulu,pm25,US,Honolulu,00:00.0,21.310301,-157.858093,3.285714286
Horicon Wildlife Are,pm25,US,DODGE,00:00.0,43.46611,-88.621109,8.842857143
Horn Point,pm25,US,DORCHESTER,00:00.0,38.5876,-76.1408,13.25
Houston,pm25,US,WASHINGTON,00:00.0,40.269,-80.244,17.25714286
Houston Deer Park C3,pm25,US,Houston-Sugar Land-Baytown,00:00.0,29.670025,-95.128508,15.07857143
Huron,pm25,US,FRESNO,00:00.0,36.1994,-120.0991,7.153846154
Hurricane,pm25,US,WASHINGTON,00:00.0,37.179,-113.3052,8.035714286
Hurst Road,pm25,US,Fairbanks,00:00.0,64.762973,-147.310297,2.090909091
I25 Denver,pm25,US,Denver-Aurora,00:00.0,39.732144,-105.015313,10.73076923
Idaho City,pm25,US,BOISE,00:00.0,43.823017,-115.838557,20.58333333
Idaho Falls / Penfor,pm25,US,Idaho Falls,00:00.0,43.4683,-112.053101,7.428571429
Indio - Jackson Stre,pm25,US,Riverside-San Bernardino-Ontario,00:00.0,33.708566,-116.215394,12.48333333
Indio-29 Palms,pm25,US,N/A,00:00.0,33.71969,-116.1897,9.907142857
Indpls - I-70 E,pm25,US,Indianapolis,00:00.0,39.787933,-86.13088,27.37142857
Indpls-W.18th St,pm25,US,Indianapolis,00:00.0,39.7889,-86.2147,21.26428571
"Iowa City, Hoover Sc",pm25,US,Iowa City,00:00.0,41.658195,-91.503471,26.65
Ironton - ODOT,pm25,US,Portsmouth,00:00.0,38.508114,-82.659301,11.9
JERSEYVL,pm25,US,JERSEY,00:00.0,39.101439,-90.344494,12.34285714
JOHNSTON,pm25,US,Raleigh-Cary,00:00.0,35.59095,-78.4622,9.428571429
JPRECC,pm25,US,Paducah,00:00.0,37.0581,-88.5725,17.25
Jackson,pm25,US,Jackson,00:00.0,35.705338,-88.81959,16.58333333
Jackson NCORE,pm25,US,Jackson,00:00.0,32.329111,-90.182722,15.35384615
Jackson Road,pm25,US,Sarasota-Bradenton-Venice,00:00.0,27.0892,-82.3625,2.111111111
Jean,pm25,US,Las Vegas-Paradise,00:00.0,35.785665,-115.357087,9.8
Jefferson,pm25,US,Albuquerque,00:00.0,35.1441,-106.6044,21.52142857
Jeffersonville - Bat,pm25,US,CLARK,00:00.0,38.288191,-85.741337,40.27142857
