location,parameter,unit,country,city,date.utc,coordinates_latitude,coordinates_longitude,avgvalue
Colville-E 1st St,pm25,µg/m³,US,STEVENS,2019-11-16 16:00:00.000000,48.54469,-117.903222,11.6923076923077
Concord,pm25,µg/m³,US,San Francisco-Oakland-Fremont,2019-11-16 16:00:00.000000,37.9383,-122.025,5.5
Conroe Relocated C78,pm25,µg/m³,US,Houston-Sugar Land-Baytown,2019-11-16 16:00:00.000000,30.3503,-95.425,11.1071428571429
Cookeville,pm25,µg/m³,US,Cookeville,2019-11-16 16:00:00.000000,36.1857,-85.4921,16.25
Copper View,pm25,µg/m³,US,Salt Lake City,2019-11-16 16:00:00.000000,40.598056,-111.894167,16.8714285714286
Cornwall,pm25,µg/m³,US,Torrington,2019-11-16 16:00:00.000000,41.833099,-73.303299,8.46428571428571
Corpus Christi Dona,pm25,µg/m³,US,Corpus Christi,2019-11-16 16:00:00.000000,27.811814,-97.4657,8.17142857142857
Corsicana C1051,pm25,µg/m³,US,Corsicana,2019-11-16 16:00:00.000000,32.0319,-96.3992,8.12142857142857
Corvallis - Circle B,pm25,µg/m³,US,Corvallis,2019-11-16 16:00:00.000000,44.5884,-123.2673,8.51428571428571
Cottage Grove City S,pm25,µg/m³,US,Eugene-Springfield,2019-11-16 16:00:00.000000,43.7995,-123.0535,8.50714285714286
Credit Union,pm25,µg/m³,US,Rapid City,2019-11-16 16:00:00.000000,44.087397,-103.273777,3.32307692307692
Crestline - Lake Gre,pm25,µg/m³,US,Riverside-San Bernardino-Ontario,2019-11-16 16:00:00.000000,34.243132,-117.272275,12.7285714285714
Crystal River Preser,pm25,µg/m³,US,Homosassa Springs,2019-11-16 16:00:00.000000,28.958372,-82.643094,2.66666666666667
Custer-Loomis (SO-AQ,pm25,µg/m³,US,Bellingham,2019-11-16 16:00:00.000000,48.950699,-122.554398,4.26428571428571
Cut Bank,pm25,µg/m³,US,MT1,2019-11-16 16:00:00.000000,48.607406,-112.363842,4.0
DCNearRoad,pm25,µg/m³,US,Washington-Arlington-Alexandria,2019-11-16 16:00:00.000000,38.894749,-76.953427,11.7857142857143
DEARBORN,pm25,µg/m³,US,Detroit-Warren-Livonia,2019-11-16 16:00:00.000000,42.3075,-83.15,6.05714285714286
DECATUR,pm25,µg/m³,US,Decatur,2019-11-16 16:00:00.000000,34.5286,-86.9706,13.6857142857143
DET POLICE 4TH,pm25,µg/m³,US,Detroit-Warren-Livonia,2019-11-16 16:00:00.000000,42.312158,-83.091943,8.28333333333333
DETROIT - SOUTHWEST,pm25,µg/m³,US,Detroit-Warren-Livonia,2019-11-16 16:00:00.000000,42.3042,-83.1072,16.31
DYERTEOM,pm25,µg/m³,US,Dyersburg,2019-11-16 16:00:00.000000,36.0528,-89.3819,12.75
Danbury,pm25,µg/m³,US,Bridgeport-Stamford-Norwalk,2019-11-16 16:00:00.000000,41.4014,-73.4447,4.62857142857143
Darrington-Fir St,pm25,µg/m³,US,Seattle-Tacoma-Bellevue,2019-11-16 16:00:00.000000,48.246799,-121.603104,13.5
"Davenport, 10th & Vi",pm25,µg/m³,US,Davenport-Moline-Rock Island,2019-11-16 16:00:00.000000,41.529999,-90.587502,28.1642857142857
Davis - UCD Campus,pm25,µg/m³,US,Sacramento--Arden-Arcade--Roseville,2019-11-16 16:00:00.000000,38.53455,-121.7734,15.4285714285714
Dayton-W Main,pm25,µg/m³,US,COLUMBIA,2019-11-16 16:00:00.000000,46.318,-117.985,4.98571428571429
Del Norte,pm25,µg/m³,US,Albuquerque,2019-11-16 16:00:00.000000,35.1353,-106.584702,13.8
Denver - NJH - 14th,pm25,µg/m³,US,Denver-Aurora,2019-11-16 16:00:00.000000,39.7386,-104.9394,11.2230769230769
Detroit Lakes,pm25,µg/m³,US,BECKER,2019-11-16 16:00:00.000000,46.8511,-95.8467,6.57142857142857
Devils Lake,pm25,µg/m³,US,Baraboo,2019-11-16 16:00:00.000000,43.4356,-89.6803,14.0785714285714
Diablo,pm25,µg/m³,US,Phoenix-Mesa-Scottsdale,2019-11-16 16:00:00.000000,33.3961,-111.968,9.74285714285714
Division Street,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,2019-11-16 16:00:00.000000,40.7142,-73.995,4.07142857142857
Douglas Red Cross,pm25,µg/m³,US,Sierra Vista-Douglas,2019-11-16 16:00:00.000000,31.3492,-109.539683,6.92857142857143
Downtown Sacramento,pm25,µg/m³,US,Sacramento--Arden-Arcade--Roseville,2019-11-16 16:00:00.000000,38.56844,-121.49311,18.4285714285714
Duluth-WDSE,pm25,µg/m³,US,Duluth,2019-11-16 15:00:00.000000,46.8183,-92.0892,7.125
Durango Complex,pm25,µg/m³,US,Phoenix-Mesa-Scottsdale,2019-11-16 16:00:00.000000,33.4265,-112.1181,25.4857142857143
Durham Armory,pm25,µg/m³,US,Durham,2019-11-16 16:00:00.000000,36.032955,-78.904037,8.78571428571429
E Providence,pm25,µg/m³,US,Providence-New Bedford-Fall River,2019-11-16 13:00:00.000000,41.840302,-71.361702,2.66666666666667
EAST VINTON ELEMENTA,pm25,µg/m³,US,Roanoke,2019-11-16 16:00:00.000000,37.285599,-79.884201,15.0857142857143
ELDOSPGS,pm25,µg/m³,US,CEDAR,2019-11-16 16:00:00.000000,37.70097,-94.03474,10.4916666666667
ETOWN2,pm25,µg/m³,US,Elizabethtown,2019-11-16 16:00:00.000000,37.7064,-85.8517,23.35
East Hartford,pm25,µg/m³,US,Hartford-West Hartford-East Hartford,2019-11-16 16:00:00.000000,41.7847,-72.6297,4.30714285714286
East High School,pm25,µg/m³,US,Akron,2019-11-16 16:00:00.000000,41.063526,-81.468956,9.47857142857143
Eau Claire,pm25,µg/m³,US,EAU CLAIRE,2019-11-16 16:00:00.000000,44.761398,-91.413002,13.1785714285714
Eisenhower Park,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,2019-11-16 16:00:00.000000,40.7447,-73.5869,4.03571428571429
El Cajon - Lexington,pm25,µg/m³,US,San Diego-Carlsbad-San Marcos,2019-11-16 16:00:00.000000,32.789561,-116.944222,9.18333333333333
El Paso UTEP C12,pm25,µg/m³,US,El Paso,2019-11-16 16:00:00.000000,31.768056,-106.501111,14.2692307692308
El Rio - Rio Mesa Sc,pm25,µg/m³,US,Oxnard-Thousand Oaks-Ventura,2019-11-16 16:00:00.000000,34.2653,-119.1336,8.5
Elizabeth Trailer,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,2019-11-16 16:00:00.000000,40.641441,-74.208366,11.725
Elk Grove,pm25,µg/m³,US,Sacramento--Arden-Arcade--Roseville,2019-11-16 16:00:00.000000,38.302591,-121.420838,6.42857142857143
Ellensburg-Ruby St,pm25,µg/m³,US,Ellensburg,2019-11-16 16:00:00.000000,46.9936,-120.545,4.42857142857143
Ely,pm25,µg/m³,US,LAKE,2019-11-16 16:00:00.000000,47.9464,-91.4953,6.35714285714286
"Emmetsburg, ILCC",pm25,µg/m³,US,PALO ALTO,2019-11-16 16:00:00.000000,43.123299,-94.693298,7.21428571428571
Enoch,pm25,µg/m³,US,IRON,2019-11-16 16:00:00.000000,37.747445,-113.055524,10.5357142857143
Enterprise - US Fore,pm25,µg/m³,US,WALLOWA,2019-11-16 16:00:00.000000,45.426351,-117.296066,4.55384615384615
Erda,pm25,µg/m³,US,TOOELE,2019-11-16 16:00:00.000000,40.600556,-112.355,7.02857142857143
Erie,pm25,µg/m³,US,Erie,2019-11-16 16:00:00.000000,42.1428,-80.0372,4.6304347826087
Eugene - Amazon Park,pm25,µg/m³,US,Eugene-Springfield,2019-11-16 16:00:00.000000,44.0263,-123.08377,12.6142857142857
Eugene - Highway 99,pm25,µg/m³,US,Eugene-Springfield,2019-11-16 16:00:00.000000,44.067223,-123.14135,9.4
Eugene - Wilkes Dr.,pm25,µg/m³,US,Eugene-Springfield,2019-11-16 16:00:00.000000,44.1158,-123.12107,10.3214285714286
FAB,pm25,µg/m³,US,PHILADELPHIA,2019-11-16 16:00:00.000000,39.9603,-75.1424,7.84285714285714
FIVCO,pm25,µg/m³,US,Huntington-Ashland,2019-11-16 16:00:00.000000,38.4592,-82.6339,22.9785714285714
FLINT,pm25,µg/m³,US,Flint,2019-11-16 16:00:00.000000,43.0289,-83.669403,3.83333333333333
FRANCONIA,pm25,µg/m³,US,Washington-Arlington-Alexandria,2019-11-16 16:00:00.000000,38.771702,-77.108902,7.07142857142857
Fall River,pm25,µg/m³,US,Providence-New Bedford-Fall River,2019-11-16 16:00:00.000000,41.6833,-71.169701,9.57142857142857
Farrell,pm25,µg/m³,US,Youngstown-Warren-Boardman,2019-11-16 16:00:00.000000,41.215,-80.485,12.0142857142857
Felton Cal-Fire,pm25,µg/m³,US,Santa Cruz-Watsonville,2019-11-16 16:00:00.000000,37.0481,-122.074603,6.28571428571429
Firearms Training,pm25,µg/m³,US,Louisville,2019-11-16 16:00:00.000000,38.23158,-85.82675,25.5
Flemington,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,2019-11-16 16:00:00.000000,40.515251,-74.806755,10.9
Florence,pm25,µg/m³,US,Pittsburgh,2019-11-16 16:00:00.000000,40.4447,-80.42,18.8428571428571
Floyd Dryden,pm25,µg/m³,US,JUNEAU,2019-11-16 16:00:00.000000,58.388889,-134.565556,1.81818181818182
Fond du Lac,pm25,µg/m³,US,CARLTON,2019-11-16 16:00:00.000000,46.713694,-92.511722,3.7
Forest Park,pm25,µg/m³,US,St. Louis,2019-11-16 16:00:00.000000,38.631057,-90.281144,22.0076923076923
Fort Lee Near Road,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,2019-11-16 16:00:00.000000,40.85355,-73.9661,6.60833333333333
Freemansburg,pm25,µg/m³,US,Allentown-Bethlehem-Easton,2019-11-16 16:00:00.000000,40.6281,-75.3411,8.56428571428572
French Settlement,pm25,µg/m³,US,Baton Rouge,2019-11-16 16:00:00.000000,30.315,-90.8114,9.55
French Town - Beckwi,pm25,µg/m³,US,MISSOULA,2019-11-16 16:00:00.000000,47.012907,-114.224273,11.3384615384615
Fresh Kills,pm25,µg/m³,US,New York-Northern New Jersey-Long Island,2019-11-16 16:00:00.000000,40.5802,-74.1994,4.59166666666667
Fresno - Garland,pm25,µg/m³,US,FRESNO,2019-11-16 16:00:00.000000,36.78538,-119.77321,22.2785714285714
Ft. Collins - CSU Fa,pm25,µg/m³,US,LARIMER,2019-11-16 12:00:00.000000,40.571259,-105.079765,7.01428571428571
G.T.Craig,pm25,µg/m³,US,Cleveland-Elyria-Mentor,2019-11-16 14:00:00.000000,41.492191,-81.678552,6.55
